使用公司,换电柜品牌,换电站点,电柜id,电柜仓数,经度,纬度,电费单价,用电度数,总电费,单仓换电次数,电柜等级
成都锂享,盾创,观玺台站1号柜,DC7210810LH23122811,10,103.973816,30.678812,1.2,1972.2,2366.64,3.04,中高
成都锂享,盾创,龙湖天街8090车行1号柜,DC7210810LH24010878,10,103.992648,30.649648,1.2,2721.7,3266.04,4.87,高
成都锂享,盾创,瑞联路台铃电动车1号柜,DC7210810LH23122814,10,103.998522,30.66645,1,1421.5,1421.5,2.42,中
成都锂享,盾创,九里堤南路台铃电动车1号柜,DC7210810LH23122824,10,104.057284,30.688512,1,611.2,611.2,1.1,中低
成都锂享,盾创,二环路西二段249号哈啰电动车1号柜,DC7210810LH23122826,10,104.029079,30.6812,1.2,1188.6,1426.32,1.57,中低
成都锂享,盾创,金牛区洞子口九号电动车1号柜,DC7210810LH23122821,10,104.058472,30.720909,1.2,1705.5,2046.6,2.8,中
成都锂享,盾创,新都天海商业广场站1号柜,DC7210810LH23122828,10,104.123353,30.767748,1,477.1,477.1,0.93,中低
成都锂享,盾创,新鸿路小漆电动车1号柜,DC7210810LH23122813,10,104.103869,30.661761,1,1033.8,1033.8,1.7,中低
成都锂享,盾创,成都锦城万达站1号柜,DC7210810LH24010879,10,104.060551,30.576037,1.2,2956.9,3548.28,5.22,特高
成都锂享,盾创,郫都玉骑铃1号柜,DC7210810LH23122822,10,103.939429,30.775831,1,724,724,0.88,中低
成都锂享,盾创,锦江区银木街525号乐行电车1号柜,DC7210810LH23122818,10,104.153109,30.598265,1.2,3714.7,4457.64,6.39,特高
成都锂享,盾创,高新中和优丞电动车1号柜,DC7210810LH23122815,10,104.074064,30.507475,1,1477,1477,2.87,中
成都锂享,盾创,熊猫基地开开小店1号柜,DC7210805LH24010834,5,104.1401,30.729777,1.2,440.4,528.48,1.34,中低
成都锂享,盾创,郫都星光大道换电站1号柜,DC7210810LH23122827,10,103.886004,30.806601,1.2,2289,2746.8,5.14,特高
成都锂享,盾创,二环路东三段成都电摩城市展厅1号柜,DC7210810LH23122823,10,104.109883,30.643602,1,154,154,0.7,中低
成都锂享,盾创,悦和二街博驰电动1号柜,DC7210810LH23122830,10,104.077835,30.506398,1,928,928,1.89,中低
成都锂享,盾创,双流万达换电站1号柜,DC7210810LH23122812,10,103.926654,30.594704,1,2911.1,2911.1,4.5,高
成都锂享,盾创,二环东五段雅迪电动车1号柜,DC7210810LH23122817,10,104.093882,30.62126,1,1816.2,1816.2,2.83,中
成都锂享,盾创,金牛区陆家四组小张电动车维修1号柜,DC7210810LH23122819,10,104.059993,30.744274,1,548.4,548.4,0.96,中低
成都锂享,盾创,青白江华金大道二段418号站1号柜,DC7210810LH24010877,10,104.254802,30.883207,1,2174.8,2174.8,3.32,中高
成都锂享,盾创,三河场江陵半岛站1号柜,DC7210810LH24010875,10,104.138899,30.783179,1,1116.6,1116.6,2.04,中
成都锂享,盾创,双荆路8号赛鸽1号柜,DC7210810LH23122816,10,104.09314,30.711412,1,1427.3,1427.3,2.19,中
成都锂享,盾创,郫都区和心路25号站1号柜,DC7210810LH24010876,10,103.979334,30.735223,1,646.8,646.8,1.02,中低
成都锂享,盾创,花照壁上横街469号站1号柜,DC7210810LH23122829,10,104.031906,30.706893,1,1040.2,1040.2,1.75,中低
成都锂享,盾创,杨柳东路五星钻豹1号柜,DC7210810LH24010881,10,103.830198,30.688236,1,803.2,803.2,1.06,中低
成都锂享,盾创,柳河南路天能电池1号柜,DC7210810LH24010887,10,103.833694,30.686985,1,461.5,461.5,0.76,中低
成都锂享,盾创,南熏大道三段雅迪1号柜,DC7210810LH24040793,10,103.828036,30.681961,1.2,2532.3,3038.76,4.54,高
成都锂享,盾创,金马四海街安尔达,DC7210810LH24010897,10,103.805047,30.641369,1.2,1540.5,1848.6,2.74,中
成都锂享,盾创,樱花街九号电动车1号柜,DC7210810LH24010880,10,104.148554,30.607034,1,1142.2,1142.2,2.13,中
成都锂享,盾创,惠王陵东路倍特1号柜,DC7210805LH24010832,5,104.158434,30.615341,1,887.2,887.2,2.9,中
成都锂享,盾创,万科路257号雅迪1号柜,DC7210810LH24010890,10,104.15976,30.624124,1.2,2571.2,3085.44,4.34,高
成都锂享,盾创,龙桥小区雅迪1号柜,DC7210810LH24010891,10,103.944889,30.595559,1.3,1740.1,2262.13,3.44,中高
成都锂享,盾创,郫都区犀浦龙吟路120号换电站1号柜,DC7210810LH24010894,10,103.983481,30.748541,1.2,1561.8,1874.16,3.1,中高
成都锂享,盾创,华阳大道九号电动车1号柜,DC7210810LH24010898,10,104.0483,30.511749,1,2483,2483,3.95,中高
成都锂享,盾创,东华门街35号站1号柜,DC7210810LH24010893,10,104.068915,30.662458,1.2,627.1,752.52,0.81,中低
成都锂享,盾创,内姜街70号站1号柜,DC7210810LH24010882,10,104.076177,30.664355,1.2,1993.6,2392.32,3.57,中高
成都锂享,盾创,金牛区茶店子西街九号电动车1号柜,DC7210810LH24010892,10,104.024415,30.700822,1,1485.9,1485.9,2.31,中
成都锂享,盾创,龙泉卧龙街222号小牛电动车1号柜,DC7210810LH24010895,10,104.260699,30.565794,1.2,1451.6,1741.92,2.56,中
成都锂享,盾创,解放路一段超换站1号柜,DC7210810LH24010888,10,104.085695,30.686981,1,1709,1709,3.31,中高
成都锂享,盾创,郫都梨园路新日1号柜,DC7210805LH24010831,5,103.87118,30.823116,1.2,1061.4,1273.68,3.65,中高
