电站名称,归属省份,归属城市,归属地区,电站地址,电站终端数,电站属性,组合完整地址,经度,纬度,是否选择
水岸花园充电站,四川省,成都市,武侯区,四川省成都市武侯区四川省成都市武侯区华兴街道雷家坡二路水岸花园停车场,20,快充,四川省成都市武侯区四川省成都市武侯区四川省成都市武侯区华兴街道雷家坡二路水岸花园停车场,104.004915,30.595849,已选
世纪城充电站,四川省,成都市,武侯区,武侯区天府大道中段与吉瑞三路交叉口东60米,60,快充,四川省成都市武侯区武侯区天府大道中段与吉瑞三路交叉口东60米,104.068618,30.555829,已选
巨能宝雪山广场充电站（鑫能动）,四川省,成都市,大邑县,雪山大道一段与西岭大道交叉口,53,快充,四川省成都市大邑县雪山大道一段与西岭大道交叉口,103.546609,30.590122,未选
巨能宝新津岳店小区便民充电站,四川省,成都市,新津区,普兴街道岳店社区,11,快充,四川省成都市新津区普兴街道岳店社区,103.868341,30.384283,未选
巨能宝蔡场万延柏林小区充电站,四川省,成都市,大邑县,沙渠街道万隆街597号,3,快充,四川省成都市大邑县沙渠街道万隆街597号,103.701442,30.490797,未选
巨能宝竹隐姚林小区慢充站,四川省,成都市,大邑县,安仁镇兴福街,2,慢充,四川省成都市大邑县安仁镇兴福街,103.69352,30.496004,未选
巨能宝新福里小区慢充站,四川省,成都市,大邑县,安仁镇新福社区便民服务中心,3,慢充,四川省成都市大邑县安仁镇新福社区便民服务中心,103.689547,30.492539,未选
巨能宝堰上人家59栋慢充站,四川省,成都市,大邑县,安仁镇大新路韩延堰上人家,2,慢充,四川省成都市大邑县安仁镇大新路韩延堰上人家,103.709042,30.455158,未选
巨能宝韩场镇创业小区充电站,四川省,成都市,大邑县,安仁镇大新路创业小区,3,快充,四川省成都市大邑县安仁镇大新路创业小区,103.710892,30.452233,未选
巨能宝堰上人家广场充电站,四川省,成都市,大邑县,安仁镇韩延堰上人家,7,快充,四川省成都市大邑县安仁镇韩延堰上人家,103.709042,30.455158,未选
巨能宝堰上人家105栋慢充站,四川省,成都市,大邑县,安仁镇羊头堰支渠韩延堰上人家,2,慢充,四川省成都市大邑县安仁镇羊头堰支渠韩延堰上人家,103.709042,30.455158,未选
巨能宝桥楼A区慢充站,四川省,成都市,大邑县,安仁镇干农夫果园,3,慢充,四川省成都市大邑县安仁镇干农夫果园,103.669675,30.489275,未选
